timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1607097469505,18246,Microsoft Home Page,200,OK,User Group 2 2-3,text,true,,180871,240,60,90,https://www.microsoft.com/en-in,494,0,287
1607097469505,494,Microsoft Home Page-0,301,Moved Permanently,User Group 2 2-3,,true,,441,120,60,90,http://www.microsoft.com/en-in,494,0,287
1607097470001,17750,Microsoft Home Page-1,200,OK,User Group 2 2-3,text,true,,180430,120,60,90,https://www.microsoft.com/en-in,5903,0,4620
1607097469961,26748,Microsoft Home Page,200,OK,User Group 1 1-20,text,true,,183701,240,30,90,https://www.microsoft.com/en-in,676,0,97
1607097469961,676,Microsoft Home Page-0,301,Moved Permanently,User Group 1 1-20,,true,,441,120,30,90,http://www.microsoft.com/en-in,676,0,97
1607097470638,26071,Microsoft Home Page-1,200,OK,User Group 1 1-20,text,true,,183260,120,30,90,https://www.microsoft.com/en-in,5021,0,3388
1607097469928,26906,Microsoft Home Page,200,OK,User Group 1 1-19,text,true,,180883,240,30,90,https://www.microsoft.com/en-in,703,0,92
1607097469928,703,Microsoft Home Page-0,301,Moved Permanently,User Group 1 1-19,,true,,441,120,30,90,http://www.microsoft.com/en-in,703,0,92
1607097470632,26202,Microsoft Home Page-1,200,OK,User Group 1 1-19,text,true,,180442,120,30,90,https://www.microsoft.com/en-in,5024,0,3367
1607097469863,27577,Microsoft Home Page,200,OK,User Group 1 1-17,text,true,,180885,240,30,90,https://www.microsoft.com/en-in,686,0,115
1607097469863,686,Microsoft Home Page-0,301,Moved Permanently,User Group 1 1-17,,true,,441,120,30,90,http://www.microsoft.com/en-in,686,0,115
1607097470550,26890,Microsoft Home Page-1,200,OK,User Group 1 1-17,text,true,,180444,120,30,90,https://www.microsoft.com/en-in,6986,0,4086
1607097469959,27652,Microsoft Home Page,200,OK,User Group 2 2-35,text,true,,180684,240,60,90,https://www.microsoft.com/en-in,680,0,105
1607097469959,680,Microsoft Home Page-0,301,Moved Permanently,User Group 2 2-35,,true,,441,120,60,90,http://www.microsoft.com/en-in,680,0,105
1607097470651,26960,Microsoft Home Page-1,200,OK,User Group 2 2-35,text,true,,180243,120,60,90,https://www.microsoft.com/en-in,6619,0,3379
1607097469797,28000,Microsoft Home Page,200,OK,User Group 2 2-26,text,true,,182651,240,60,90,https://www.microsoft.com/en-in,730,0,114
1607097469797,730,Microsoft Home Page-0,301,Moved Permanently,User Group 2 2-26,,true,,441,120,60,90,http://www.microsoft.com/en-in,730,0,114
1607097470529,27268,Microsoft Home Page-1,200,OK,User Group 2 2-26,text,true,,182210,120,60,90,https://www.microsoft.com/en-in,5176,0,3493
1607097469507,28290,Microsoft Home Page,200,OK,User Group 2 2-6,text,true,,180939,240,60,90,https://www.microsoft.com/en-in,510,0,292
