timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1607000023199,13819,Notices,200,OK,Thread Group 1-7,text,false,"Test failed: text expected to equal /

****** received  : [[[<title>NSUT NOTICES / CIRCULARS</title><LINK href='css/METAL/app.css' type=text/css rel=stylesheet>...]]]

****** comparison: [[[200                                                                                                    ]]]

/",45396,138,20,20,https://www.imsnsit.org/imsnsit/notifications.php,8905,0,6376
1607000023195,14405,Notices,200,OK,Thread Group 1-5,text,false,"Test failed: text expected to equal /

****** received  : [[[<title>NSUT NOTICES / CIRCULARS</title><LINK href='css/METAL/app.css' type=text/css rel=stylesheet>...]]]

****** comparison: [[[200                                                                                                    ]]]

/",45396,138,20,20,https://www.imsnsit.org/imsnsit/notifications.php,9419,0,6699
1607000037603,4,HelpDoc,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.imsnsit.org:443 failed to respond,Thread Group 1-5,text,false,"Test failed: text expected to equal /

****** received  : [[[org.apache.http.NoHttpResponseException: www.imsnsit.org:443 failed to respond
	at org.apache.http....]]]

****** comparison: [[[200                                                                                                    ]]]

/",2096,0,20,20,https://www.imsnsit.org/imsnsit/nsithelp_doc.php,0,0,0
1607000023536,17369,Notices,200,OK,Thread Group 1-15,text,false,"Test failed: text expected to equal /

****** received  : [[[<title>NSUT NOTICES / CIRCULARS</title><LINK href='css/METAL/app.css' type=text/css rel=stylesheet>...]]]

****** comparison: [[[200                                                                                                    ]]]

/",45396,138,20,20,https://www.imsnsit.org/imsnsit/notifications.php,12569,0,7953
1607000040912,2,HelpDoc,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.imsnsit.org:443 failed to respond,Thread Group 1-15,text,false,"Test failed: text expected to equal /

****** received  : [[[org.apache.http.NoHttpResponseException: www.imsnsit.org:443 failed to respond
	at org.apache.http....]]]

****** comparison: [[[200                                                                                                    ]]]

/",2096,0,20,20,https://www.imsnsit.org/imsnsit/nsithelp_doc.php,0,0,0
1607000023248,17909,Notices,200,OK,Thread Group 1-9,text,false,"Test failed: text expected to equal /

****** received  : [[[<title>NSUT NOTICES / CIRCULARS</title><LINK href='css/METAL/app.css' type=text/css rel=stylesheet>...]]]

****** comparison: [[[200                                                                                                    ]]]

/",45396,138,20,20,https://www.imsnsit.org/imsnsit/notifications.php,9761,0,6999
1607000041159,1,HelpDoc,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.imsnsit.org:443 failed to respond,Thread Group 1-9,text,false,"Test failed: text expected to equal /

****** received  : [[[org.apache.http.NoHttpResponseException: www.imsnsit.org:443 failed to respond
	at org.apache.http....]]]

****** comparison: [[[200                                                                                                    ]]]

/",2096,0,20,20,https://www.imsnsit.org/imsnsit/nsithelp_doc.php,0,0,0
1607000023731,17884,Notices,200,OK,Thread Group 1-19,text,false,"Test failed: text expected to equal /

****** received  : [[[<title>NSUT NOTICES / CIRCULARS</title><LINK href='css/METAL/app.css' type=text/css rel=stylesheet>...]]]

****** comparison: [[[200                                                                                                    ]]]

/",45396,138,20,20,https://www.imsnsit.org/imsnsit/notifications.php,9868,0,6808
1607000041617,2,HelpDoc,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.imsnsit.org:443 failed to respond,Thread Group 1-19,text,false,"Test failed: text expected to equal /

****** received  : [[[org.apache.http.NoHttpResponseException: www.imsnsit.org:443 failed to respond
	at org.apache.http....]]]

****** comparison: [[[200                                                                                                    ]]]

/",2096,0,20,20,https://www.imsnsit.org/imsnsit/nsithelp_doc.php,0,0,0
1607000023195,19493,Notices,200,OK,Thread Group 1-2,text,false,"Test failed: text expected to equal /

****** received  : [[[<title>NSUT NOTICES / CIRCULARS</title><LINK href='css/METAL/app.css' type=text/css rel=stylesheet>...]]]

****** comparison: [[[200                                                                                                    ]]]

/",45396,138,20,20,https://www.imsnsit.org/imsnsit/notifications.php,14881,0,8611
